version,argo,asm-all,authlib,bcprov-jdk15on,blocklist,brigadier,codecjorbis,codecwav,commons-codec,commons-compress,commons-io,commons-lang3,commons-logging,datafixerupper,failureaccess,fastutil,gson,guava,httpclient,httpcore,icu4j,icu4j-core-mojang,java-objc-bridge-osx,javabridge,jinput,jinput-platform,jna,jna-platform,joml,jopt-simple,jutils,launchwrapper,libraryjavasound,librarylwjglopenal,log4j-api,log4j-core,log4j-slf4j18-impl,log4j-slf4j2-impl,logging,lwjgl,lwjgl-!osx,lwjgl-glfw,lwjgl-glfw-!osx,lwjgl-glfw-natives-linux,lwjgl-glfw-natives-macos,lwjgl-glfw-natives-macos-arm64,lwjgl-glfw-natives-windows,lwjgl-glfw-natives-windows-arm64,lwjgl-glfw-natives-windows-x86,lwjgl-glfw-osx,lwjgl-jemalloc,lwjgl-jemalloc-!osx,lwjgl-jemalloc-natives-linux,lwjgl-jemalloc-natives-macos,lwjgl-jemalloc-natives-macos-arm64,lwjgl-jemalloc-natives-windows,lwjgl-jemalloc-natives-windows-arm64,lwjgl-jemalloc-natives-windows-x86,lwjgl-jemalloc-osx,lwjgl-natives-linux,lwjgl-natives-macos,lwjgl-natives-macos-arm64,lwjgl-natives-windows,lwjgl-natives-windows-arm64,lwjgl-natives-windows-x86,lwjgl-openal,lwjgl-openal-!osx,lwjgl-openal-natives-linux,lwjgl-openal-natives-macos,lwjgl-openal-natives-macos-arm64,lwjgl-openal-natives-windows,lwjgl-openal-natives-windows-arm64,lwjgl-openal-natives-windows-x86,lwjgl-openal-osx,lwjgl-opengl,lwjgl-opengl-!osx,lwjgl-opengl-natives-linux,lwjgl-opengl-natives-macos,lwjgl-opengl-natives-macos-arm64,lwjgl-opengl-natives-windows,lwjgl-opengl-natives-windows-arm64,lwjgl-opengl-natives-windows-x86,lwjgl-opengl-osx,lwjgl-osx,lwjgl-platform,lwjgl-platform-!osx,lwjgl-platform-osx,lwjgl-stb,lwjgl-stb-!osx,lwjgl-stb-natives-linux,lwjgl-stb-natives-macos,lwjgl-stb-natives-macos-arm64,lwjgl-stb-natives-windows,lwjgl-stb-natives-windows-arm64,lwjgl-stb-natives-windows-x86,lwjgl-stb-osx,lwjgl-tinyfd,lwjgl-tinyfd-!osx,lwjgl-tinyfd-natives-linux,lwjgl-tinyfd-natives-macos,lwjgl-tinyfd-natives-macos-arm64,lwjgl-tinyfd-natives-windows,lwjgl-tinyfd-natives-windows-arm64,lwjgl-tinyfd-natives-windows-x86,lwjgl-tinyfd-osx,lwjgl_util,lwjgl_util-!osx,lwjgl_util-osx,netty,netty-all,netty-buffer,netty-codec,netty-common,netty-handler,netty-resolver,netty-transport,netty-transport-classes-epoll,netty-transport-native-epoll-linux-aarch_64,netty-transport-native-epoll-linux-x86_64,netty-transport-native-unix-common,oshi-core,patchy,platform,realms,slf4j-api,soundsystem,text2speech,trove4j,twitch,twitch-external-platform-windows,twitch-platform-!linux,vecmath
1.13,,,1.5.25,,,0.1.27,20101023,20101023,1.10,1.8.1,2.5,3.5,1.1.3,1.0.16,,7.1.0,2.8.0,21.0,4.3.3,4.3.2,,51.2,1.0.0,,2.0.5,,4.4.0,,,5.0.3,1.0.0,,20101123,,2.8.1,2.8.1,,,,3.1.6,,3.1.6,,,,,,,,,3.1.6,,,,,,,,,,,,,,,3.1.6,,,,,,,,,3.1.6,,,,,,,,,,,,,3.1.6,,,,,,,,,,,,,,,,,,,,,,4.1.25.Final,,,,,,,,,,,1.1,1.3.9,3.4.0,1.13.4,,20120107,1.10.3,,,,,
1.13.1,,,1.5.25,,,1.0.14,20101023,20101023,1.10,1.8.1,2.5,3.5,1.1.3,1.0.16,,8.2.1,2.8.0,21.0,4.3.3,4.3.2,,51.2,1.0.0,,2.0.5,,4.4.0,,,5.0.3,1.0.0,,20101123,,2.8.1,2.8.1,,,,3.1.6,,3.1.6,,,,,,,,,3.1.6,,,,,,,,,,,,,,,3.1.6,,,,,,,,,3.1.6,,,,,,,,,,,,,3.1.6,,,,,,,,,,,,,,,,,,,,,,4.1.25.Final,,,,,,,,,,,1.1,1.3.9,3.4.0,1.13.8,,20120107,1.10.3,,,,,
1.13.2,,,1.5.25,,,1.0.14,20101023,20101023,1.10,1.8.1,2.5,3.5,1.1.3,1.0.19,,8.2.1,2.8.0,21.0,4.3.3,4.3.2,,51.2,1.0.0,,2.0.5,,4.4.0,,,5.0.3,1.0.0,,20101123,,2.8.1,2.8.1,,,,3.1.6,,3.1.6,,,,,,,,,3.1.6,,,,,,,,,,,,,,,3.1.6,,,,,,,,,3.1.6,,,,,,,,,,,,,3.1.6,,,,,,,,,,,,,,,,,,,,,,4.1.25.Final,,,,,,,,,,,1.1,1.3.9,3.4.0,1.13.9,,20120107,1.10.3,,,,,
1.14,,,1.5.25,,,1.0.17,,,1.10,1.8.1,2.5,3.5,1.1.3,2.0.24,,8.2.1,2.8.0,21.0,4.3.3,4.3.2,,51.2,1.0.0,1.0.22,2.0.5,,4.4.0,,,5.0.3,1.0.0,,,,2.8.1,2.8.1,,,,3.2.1,,3.2.1,,,,,,,,,3.2.1,,,,,,,,,,,,,,,3.2.1,,,,,,,,,3.2.1,,,,,,,,,,,,,3.2.1,,,,,,,,,,,,,,,,,,,,,,4.1.25.Final,,,,,,,,,,,1.1,1.3.9,3.4.0,1.14.14,,,1.11.3,,,,,
1.14.1,,,1.5.25,,,1.0.17,,,1.10,1.8.1,2.5,3.5,1.1.3,2.0.24,,8.2.1,2.8.0,21.0,4.3.3,4.3.2,,51.2,1.0.0,1.0.22,2.0.5,,4.4.0,,,5.0.3,1.0.0,,,,2.8.1,2.8.1,,,,3.2.1,,3.2.1,,,,,,,,,3.2.1,,,,,,,,,,,,,,,3.2.1,,,,,,,,,3.2.1,,,,,,,,,,,,,3.2.1,,,,,,,,,,,,,,,,,,,,,,4.1.25.Final,,,,,,,,,,,1.1,1.3.9,3.4.0,1.14.15,,,1.11.3,,,,,
1.14.2,,,1.5.25,,,1.0.17,,,1.10,1.8.1,2.5,3.5,1.1.3,2.0.24,,8.2.1,2.8.0,21.0,4.3.3,4.3.2,,51.2,1.0.0,1.0.22,2.0.5,,4.4.0,,,5.0.3,1.0.0,,,,2.8.1,2.8.1,,,,3.2.1,,3.2.1,,,,,,,,,3.2.1,,,,,,,,,,,,,,,3.2.1,,,,,,,,,3.2.1,,,,,,,,,,,,,3.2.1,,,,,,,,,,,,,,,,,,,,,,4.1.25.Final,,,,,,,,,,,1.1,1.3.9,3.4.0,1.14.16,,,1.11.3,,,,,
1.14.3,,,1.5.25,,,1.0.17,,,1.10,1.8.1,2.5,3.5,1.1.3,2.0.24,,8.2.1,2.8.0,21.0,4.3.3,4.3.2,,51.2,1.0.0,1.0.22,2.0.5,,4.4.0,,,5.0.3,1.0.0,,,,2.8.1,2.8.1,,,,3.2.2,,3.2.2,,,,,,,,,3.2.2,,,,,,,,,,,,,,,3.2.2,,,,,,,,,3.2.2,,,,,,,,,,,,,3.2.2,,,,,,,,,,,,,,,,,,,,,,4.1.25.Final,,,,,,,,,,,1.1,1.3.9,3.4.0,1.14.17,,,1.11.3,,,,,
1.14.4,,,1.5.25,,,1.0.17,,,1.10,1.8.1,2.5,3.5,1.1.3,2.0.24,,8.2.1,2.8.0,21.0,4.3.3,4.3.2,,51.2,1.0.0,1.0.22,2.0.5,,4.4.0,,,5.0.3,1.0.0,,,,2.8.1,2.8.1,,,,,3.2.2,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,,,,,,,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,3.2.1,,,,,3.2.2,,,,,,,3.2.1,,,,,,,,,,,,,,4.1.25.Final,,,,,,,,,,,1.1,1.3.9,3.4.0,,,,1.11.3,,,,,
1.15,,,1.5.25,,,1.0.17,,,1.10,1.8.1,2.5,3.5,1.1.3,2.0.24,,8.2.1,2.8.0,21.0,4.3.3,4.3.2,,51.2,1.0.0,1.0.22,2.0.5,,4.4.0,,,5.0.3,1.0.0,,,,2.8.1,2.8.1,,,,,3.2.2,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,,,,,,,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,3.2.1,,,,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,,,,,4.1.25.Final,,,,,,,,,,,1.1,1.3.9,3.4.0,,,,1.11.3,,,,,
1.15.1,,,1.5.25,,,1.0.17,,,1.10,1.8.1,2.5,3.5,1.1.3,2.0.24,,8.2.1,2.8.0,21.0,4.3.3,4.3.2,,51.2,1.0.0,1.0.22,2.0.5,,4.4.0,,,5.0.3,1.0.0,,,,2.8.1,2.8.1,,,,,3.2.2,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,,,,,,,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,3.2.1,,,,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,,,,,4.1.25.Final,,,,,,,,,,,1.1,1.3.9,3.4.0,,,,1.11.3,,,,,
1.15.2,,,1.5.25,,,1.0.17,,,1.10,1.8.1,2.5,3.5,1.1.3,2.0.24,,8.2.1,2.8.0,21.0,4.3.3,4.3.2,,51.2,1.0.0,1.0.22,2.0.5,,4.4.0,,,5.0.3,1.0.0,,,,2.8.1,2.8.1,,,,,3.2.2,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,,,,,,,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,3.2.1,,,,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,,,,,4.1.25.Final,,,,,,,,,,,1.1,1.3.9,3.4.0,,,,1.11.3,,,,,
1.16,,,1.6.25,,,1.0.17,,,1.10,1.8.1,2.5,3.5,1.1.3,3.0.25,,8.2.1,2.8.0,21.0,4.3.3,4.3.2,66.1,,1.0.0,1.0.22,2.0.5,,4.4.0,,,5.0.3,1.0.0,,,,2.8.1,2.8.1,,,,,3.2.2,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,,,,,,,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,3.2.1,,,,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,,,,,4.1.25.Final,,,,,,,,,,,1.1,1.3.9,3.4.0,,,,1.11.3,,,,,
1.16.1,,,1.6.25,,,1.0.17,,,1.10,1.8.1,2.5,3.5,1.1.3,3.0.25,,8.2.1,2.8.0,21.0,4.3.3,4.3.2,66.1,,1.0.0,1.0.22,2.0.5,,4.4.0,,,5.0.3,1.0.0,,,,2.8.1,2.8.1,,,,,3.2.2,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,,,,,,,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,3.2.1,,,,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,,,,,4.1.25.Final,,,,,,,,,,,1.1,1.3.9,3.4.0,,,,1.11.3,,,,,
1.16.2,,,1.6.25,,,1.0.17,,,1.10,1.8.1,2.5,3.5,1.1.3,4.0.26,,8.2.1,2.8.0,21.0,4.3.3,4.3.2,66.1,,1.0.0,1.0.22,2.0.5,,4.4.0,,,5.0.3,1.0.0,,,,2.8.1,2.8.1,,,,,3.2.2,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,,,,,,,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,3.2.1,,,,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,,,,,4.1.25.Final,,,,,,,,,,,1.1,1.3.9,3.4.0,,,,1.11.3,,,,,
1.16.3,,,1.6.25,,,1.0.17,,,1.10,1.8.1,2.5,3.5,1.1.3,4.0.26,,8.2.1,2.8.0,21.0,4.3.3,4.3.2,66.1,,1.0.0,1.0.22,2.0.5,,4.4.0,,,5.0.3,1.0.0,,,,2.8.1,2.8.1,,,,,3.2.2,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,,,,,,,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,3.2.1,,,,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,,,,,4.1.25.Final,,,,,,,,,,,1.1,1.3.9,3.4.0,,,,1.11.3,,,,,
1.16.4,,,2.1.28,,,1.0.17,,,1.10,1.8.1,2.5,3.5,1.1.3,4.0.26,,8.2.1,2.8.0,21.0,4.3.3,4.3.2,66.1,,1.0.0,1.0.22,2.0.5,,4.4.0,,,5.0.3,1.0.0,,,,2.8.1,2.8.1,,,,,3.2.2,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,,,,,,,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,3.2.1,,,,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,,,,,4.1.25.Final,,,,,,,,,,,1.1,1.3.9,3.4.0,,,,1.11.3,,,,,
1.16.5,,,2.1.28,,,1.0.17,,,1.10,1.8.1,2.5,3.5,1.1.3,4.0.26,,8.2.1,2.8.0,21.0,4.3.3,4.3.2,66.1,,1.0.0,1.0.22,2.0.5,,4.4.0,,,5.0.3,1.0.0,,,,2.8.1,2.8.1,,,,,3.2.2,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,,,,,,,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,3.2.1,,,,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,,,,,4.1.25.Final,,,,,,,,,,,1.1,1.3.9,3.4.0,,,,1.11.3,,,,,
1.17,,,2.3.31,,1.0.5,1.0.18,,,1.10,1.8.1,2.5,3.5,1.1.3,4.0.26,,8.2.1,2.8.0,21.0,4.3.3,4.3.2,66.1,,1.0.0,1.1.23,2.0.5,,5.8.0,5.8.0,,5.0.3,1.0.0,,,,2.14.1,2.14.1,2.14.1,,,,3.2.2,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,,,,,,,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,3.2.1,,,,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,,,,,4.1.25.Final,,,,,,,,,,,5.7.4,2.1.6,,,1.8.0-beta4,,1.11.3,,,,,
1.17.1,,,2.3.31,,1.0.5,1.0.18,,,1.10,1.8.1,2.5,3.5,1.1.3,4.0.26,,8.2.1,2.8.0,21.0,4.3.3,4.3.2,66.1,,1.0.0,1.1.23,2.0.5,,5.8.0,5.8.0,,5.0.3,1.0.0,,,,2.14.1,2.14.1,2.14.1,,,,3.2.2,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,,,,,,,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,3.2.1,,,,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,,,,,4.1.25.Final,,,,,,,,,,,5.7.5,2.1.6,,,1.8.0-beta4,,1.11.3,,,,,
1.18,,,3.2.38,,1.0.6,1.0.18,,,1.15,1.21,2.11.0,3.12.0,1.2,4.0.26,1.0.1,8.5.6,2.8.8,31.0.1-jre,4.5.13,4.4.14,69.1,,1.0.0,1.2.24,,,5.9.0,5.9.0,,5.0.4,,,,,2.14.1,2.14.1,2.14.1,,,,3.2.2,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,,,,,,,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,3.2.1,,,,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,,,,,4.1.68.Final,,,,,,,,,,,5.8.2,2.1.6,,,1.8.0-beta4,,1.11.3,,,,,
1.18.1,,,3.2.38,,1.0.6,1.0.18,,,1.15,1.21,2.11.0,3.12.0,1.2,4.0.26,1.0.1,8.5.6,2.8.8,31.0.1-jre,4.5.13,4.4.14,69.1,,1.0.0,1.2.24,,,5.9.0,5.9.0,,5.0.4,,,,,2.14.1,2.14.1,2.14.1,,,,3.2.2,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,,,,,,,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,3.2.1,,,,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,,,,,4.1.68.Final,,,,,,,,,,,5.8.2,2.1.6,,,1.8.0-beta4,,1.11.3,,,,,
1.18.2,,,3.3.39,,1.0.10,1.0.18,,,1.15,1.21,2.11.0,3.12.0,1.2,4.1.27,1.0.1,8.5.6,2.8.9,31.0.1-jre,4.5.13,4.4.14,70.1,,1.0.0,1.2.24,,,5.10.0,5.10.0,,5.0.4,,,,,2.17.0,2.17.0,2.17.0,,1.0.0,,3.2.2,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,,,,,,,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,3.2.1,,,,,3.2.2,,,,,,,3.2.1,,3.2.2,,,,,,,3.2.1,,,,,4.1.68.Final,,,,,,,,,,,5.8.5,2.2.10,,,1.8.0-beta4,,1.12.4,,,,,
1.19,,,3.5.41,,1.0.10,1.0.18,,,1.15,1.21,2.11.0,3.12.0,1.2,5.0.28,1.0.1,8.5.6,2.8.9,31.0.1-jre,4.5.13,4.4.14,70.1,,1.1,1.2.24,,,5.10.0,5.10.0,,5.0.4,,,,,2.17.0,2.17.0,2.17.0,,1.0.0,3.3.1,,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,,,,,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,,,,,,4.1.77.Final,4.1.77.Final,4.1.77.Final,4.1.77.Final,4.1.77.Final,4.1.77.Final,4.1.77.Final,4.1.77.Final,4.1.77.Final,4.1.77.Final,5.8.5,2.2.10,,,1.8.0-beta4,,1.16.7,,,,,
1.19.1,,,3.11.50,,1.0.10,1.0.18,,,1.15,1.21,2.11.0,3.12.0,1.2,5.0.28,1.0.1,8.5.6,2.8.9,31.0.1-jre,4.5.13,4.4.14,70.1,,1.1,1.2.24,,,5.10.0,5.10.0,,5.0.4,,,,,2.17.0,2.17.0,2.17.0,,1.0.0,3.3.1,,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,,,,,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,,,,,,4.1.77.Final,4.1.77.Final,4.1.77.Final,4.1.77.Final,4.1.77.Final,4.1.77.Final,4.1.77.Final,4.1.77.Final,4.1.77.Final,4.1.77.Final,5.8.5,2.2.10,,,1.8.0-beta4,,1.16.7,,,,,
1.19.2,,,3.11.49,,1.0.10,1.0.18,,,1.15,1.21,2.11.0,3.12.0,1.2,5.0.28,1.0.1,8.5.6,2.8.9,31.0.1-jre,4.5.13,4.4.14,70.1,,1.1,1.2.24,,,5.10.0,5.10.0,,5.0.4,,,,,2.17.0,2.17.0,2.17.0,,1.0.0,3.3.1,,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,,,,,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,,,,,,4.1.77.Final,4.1.77.Final,4.1.77.Final,4.1.77.Final,4.1.77.Final,4.1.77.Final,4.1.77.Final,4.1.77.Final,4.1.77.Final,4.1.77.Final,5.8.5,2.2.10,,,1.8.0-beta4,,1.16.7,,,,,
1.19.3,,,3.16.29,,1.0.10,1.0.18,,,1.15,1.21,2.11.0,3.12.0,1.2,5.0.28,1.0.1,8.5.9,2.10,31.1-jre,4.5.13,4.4.15,71.1,,1.1,2.0.25,,,5.12.1,5.12.1,1.10.5,5.0.4,,,,,2.19.0,2.19.0,,2.19.0,1.1.1,3.3.1,,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,,,,,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,,,,,,4.1.82.Final,4.1.82.Final,4.1.82.Final,4.1.82.Final,4.1.82.Final,4.1.82.Final,4.1.82.Final,4.1.82.Final,4.1.82.Final,4.1.82.Final,6.2.2,2.2.10,,,2.0.1,,1.16.7,,,,,
1.19.4,,,3.18.38,,1.0.10,1.0.18,,,1.15,1.21,2.11.0,3.12.0,1.2,6.0.6,1.0.1,8.5.9,2.10,31.1-jre,4.5.13,4.4.15,71.1,,1.1,,,,5.12.1,5.12.1,1.10.5,5.0.4,,,,,2.19.0,2.19.0,,2.19.0,1.1.1,3.3.1,,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,,,,,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,,,,,,4.1.82.Final,4.1.82.Final,4.1.82.Final,4.1.82.Final,4.1.82.Final,4.1.82.Final,4.1.82.Final,4.1.82.Final,4.1.82.Final,4.1.82.Final,6.2.2,2.2.10,,,2.0.1,,1.16.7,,,,,
1.20,,,4.0.43,,1.0.10,1.1.8,,,1.15,1.21,2.11.0,3.12.0,1.2,6.0.8,1.0.1,8.5.9,2.10,31.1-jre,4.5.13,4.4.15,71.1,,1.1,,,,5.12.1,5.12.1,1.10.5,5.0.4,,,,,2.19.0,2.19.0,,2.19.0,1.1.1,3.3.1,,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,,,,,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,,,,,,4.1.82.Final,4.1.82.Final,4.1.82.Final,4.1.82.Final,4.1.82.Final,4.1.82.Final,4.1.82.Final,4.1.82.Final,4.1.82.Final,4.1.82.Final,6.2.2,2.2.10,,,2.0.1,,1.17.9,,,,,
1.20.1,,,4.0.43,,1.0.10,1.1.8,,,1.15,1.21,2.11.0,3.12.0,1.2,6.0.8,1.0.1,8.5.9,2.10,31.1-jre,4.5.13,4.4.15,71.1,,1.1,,,,5.12.1,5.12.1,1.10.5,5.0.4,,,,,2.19.0,2.19.0,,2.19.0,1.1.1,3.3.1,,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,,,,,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,3.3.1,,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,3.3.1,,,,,,,4.1.82.Final,4.1.82.Final,4.1.82.Final,4.1.82.Final,4.1.82.Final,4.1.82.Final,4.1.82.Final,4.1.82.Final,4.1.82.Final,4.1.82.Final,6.2.2,2.2.10,,,2.0.1,,1.17.9,,,,,
